
Cell Ellipsoid Axis A
 ==================== 
Cell Ellipsoid Axis A X,Cell Ellipsoid Axis A Y,Cell Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.784775,-0.573332,-0.235412,um,Cell,Cell Ellipsoid Axis A,1,ATM,3,
0.0264099,-0.701773,0.711911,um,Cell,Cell Ellipsoid Axis A,1,TVC,4,
0.495734,-0.169215,-0.85183,um,Cell,Cell Ellipsoid Axis A,1,TVC,5,
0.882402,-0.385055,0.270369,um,Cell,Cell Ellipsoid Axis A,1,TVC,6,
0.0949343,-0.986405,-0.134135,um,Cell,Cell Ellipsoid Axis A,1,TVC,7,
0.713062,-0.3962,0.578418,um,Cell,Cell Ellipsoid Axis A,1,TVC,8,
0.450563,0.195303,0.87112,um,Cell,Cell Ellipsoid Axis A,1,TVC,9,
