
Cell Ellipsoid Axis Length B
 ==================== 
Cell Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
9.39988,um,Cell,1,ATM,0,
9.43079,um,Cell,1,ATM,1,
6.93488,um,Cell,1,ATM,2,
5.33004,um,Cell,1,TVC,3,
7.4146,um,Cell,1,TVC,4,
6.88538,um,Cell,1,TVC,5,
7.06032,um,Cell,1,TVC,6,
