
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,ID,
0.934663,-0.337896,-0.110597,um,Surface,Ellipsoid Axis B,1,ATMgroup,4,
0.654067,-0.270584,0.706385,um,Surface,Ellipsoid Axis B,1,TVCgroup,0,
