
Nucleus Distance from Origin
 ==================== 
Nucleus Distance from Origin,Unit,Category,Collection,Time,Default Labels,CellID,ID,
95292,um,Nucleus,Nucleus Distance from Origin,1,ATM,6,100000006,
95294.7,um,Nucleus,Nucleus Distance from Origin,1,ATM,7,100000007,
95269,um,Nucleus,Nucleus Distance from Origin,1,TVC,0,100000000,
95278.1,um,Nucleus,Nucleus Distance from Origin,1,TVC,1,100000001,
95280.4,um,Nucleus,Nucleus Distance from Origin,1,TVC,2,100000002,
95271.8,um,Nucleus,Nucleus Distance from Origin,1,TVC,3,100000003,
95273.2,um,Nucleus,Nucleus Distance from Origin,1,TVC,4,100000004,
95280.1,um,Nucleus,Nucleus Distance from Origin,1,TVC,5,100000005,
