
Cell Center of Image Mass Ch=2 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
36487.6,88198.9,199.608,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,7,
36470.6,88154.2,201.572,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,8,
36421,88122.2,176.859,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,0,
36432.1,88124.2,178.76,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,2,
36430.7,88112.7,179.313,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,5,
