
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
35920.7,80393.1,195.547,um,Surface,Center of Homogeneous Mass,1,ATMgroup,0,
35957,80328.3,177.949,um,Surface,Center of Homogeneous Mass,1,TVCgroup,1,
