
Nucleus Ellipsoid Axis A
 ==================== 
Nucleus Ellipsoid Axis A X,Nucleus Ellipsoid Axis A Y,Nucleus Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
0.0248914,-0.999671,-0.00621121,um,Nucleus,Nucleus Ellipsoid Axis A,1,ATM,10,100000010,
0.76633,-0.639388,0.06262,um,Nucleus,Nucleus Ellipsoid Axis A,1,ATM,11,100000011,
0.960295,0.263785,0.090832,um,Nucleus,Nucleus Ellipsoid Axis A,1,ATM,12,100000012,
0.891133,0.449929,-0.0587072,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,4,100000004,
-0.420348,0.886484,-0.19353,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,5,100000005,
0.768161,0.639621,-0.0285274,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,6,100000006,
-0.0173001,0.976579,-0.214462,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,7,100000007,
