
Cell Distance to Image Border XY Img=1
 ==================== 
Cell Distance to Image Border XY,Unit,Category,Image,Time,Default Labels,ID,
13.6328,um,Cell,Image 1,1,ATM,2,
32.375,um,Cell,Image 1,1,ATM,3,
12.4961,um,Cell,Image 1,1,TVC,4,
25.8438,um,Cell,Image 1,1,TVC,5,
16.7539,um,Cell,Image 1,1,TVC,6,
11.3594,um,Cell,Image 1,1,TVC,7,
