
Cell BoundingBoxOO Length
 ==================== 
Cell BoundingBoxOO Length A,Cell BoundingBoxOO Length B,Cell BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
13.2238,18.8517,51.8736,um,Cell,Cell BoundingBoxOO Length,1,ATM,0,
11.8565,18.1842,39.7559,um,Cell,Cell BoundingBoxOO Length,1,ATM,1,
13.749,16.3258,22.4535,um,Cell,Cell BoundingBoxOO Length,1,TVC,2,
9.81773,16.1279,19.6647,um,Cell,Cell BoundingBoxOO Length,1,TVC,3,
12.2596,15.5147,17.1501,um,Cell,Cell BoundingBoxOO Length,1,TVC,4,
10.4911,12.3663,17.8469,um,Cell,Cell BoundingBoxOO Length,1,TVC,7,
