
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
0.799144,-0.588875,0.120815,um,Surface,Ellipsoid Axis C,1,ATM,3,
-0.44009,-0.88198,-0.168616,um,Surface,Ellipsoid Axis C,1,TVCgroup,0,
