
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
6.25938,um,Surface,1,ATMgroup,0,
7.47167,um,Surface,1,TVCgroup,2,
