
Cell Cytoplasm Volume
 ==================== 
Cell Cytoplasm Volume,Unit,Category,Time,Default Labels,ID,
3052,um^3,Cell,1,TVC,1,
2862.46,um^3,Cell,1,TVC,2,
5009.32,um^3,Cell,1,ATM,3,
2955.37,um^3,Cell,1,ATM,4,
