
Cell Volume
 ==================== 
Cell Volume,Unit,Category,Time,Default Labels,ID,
5281.99,um^3,Cell,1,ATM,2,
6238.85,um^3,Cell,1,ATM,6,
7933.26,um^3,Cell,1,ATM,7,
4526.57,um^3,Cell,1,TVC,9,
