
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
47915.3,48261.1,71.8226,um,Cell,Cell Center of Homogeneous Mass,1,ATM,0,
47862.9,48273.3,80.221,um,Cell,Cell Center of Homogeneous Mass,1,TVC,1,
47858.1,48283.4,81.6321,um,Cell,Cell Center of Homogeneous Mass,1,TVC,2,
47851.2,48296.1,80.3261,um,Cell,Cell Center of Homogeneous Mass,1,TVC,3,
47841.4,48302.9,81.6951,um,Cell,Cell Center of Homogeneous Mass,1,TVC,4,
47853,48287.6,87.7184,um,Cell,Cell Center of Homogeneous Mass,1,TVC,5,
47842,48294.7,89.9005,um,Cell,Cell Center of Homogeneous Mass,1,TVC,6,
