
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
33768.5,85056.2,-40.0103,um,Cell,Cell Center of Homogeneous Mass,1,ATM,4,
33783.9,85075.8,-37.3436,um,Cell,Cell Center of Homogeneous Mass,1,ATM,5,
33708.1,85002.1,-69.1205,um,Cell,Cell Center of Homogeneous Mass,1,TVC,0,
33700,85007.4,-66.1347,um,Cell,Cell Center of Homogeneous Mass,1,TVC,1,
33710.2,85010.3,-68.0661,um,Cell,Cell Center of Homogeneous Mass,1,TVC,2,
33713.2,85015.7,-63.8097,um,Cell,Cell Center of Homogeneous Mass,1,TVC,3,
