
Nucleus Ellipsoid Axis Length A
 ==================== 
Nucleus Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,CellID,ID,
2.97774,um,Nucleus,1,ATM,0,100000000,
3.17291,um,Nucleus,1,ATM,1,100000001,
2.36567,um,Nucleus,1,TVC,4,100000004,
1.64165,um,Nucleus,1,TVC,5,100000005,
2.08792,um,Nucleus,1,TVC,6,100000006,
2.08362,um,Nucleus,1,TVC,7,100000007,
