
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
57.1624,um,Surface,1,ATMgroup,0,
15.1581,um,Surface,1,TVCgroup,2,
