
Cell Cytoplasm Volume
 ==================== 
Cell Cytoplasm Volume,Unit,Category,Time,Default Labels,ID,
11430.5,um^3,Cell,1,ATM,2,
10151.1,um^3,Cell,1,ATM,3,
1201.34,um^3,Cell,1,TVC,7,
2034.44,um^3,Cell,1,TVC,9,
2689.53,um^3,Cell,1,TVC,10,
1552.59,um^3,Cell,1,TVC,11,
