
Nucleus Relative To Cell Distance from Origin
 ==================== 
Nucleus Relative To Cell Distance from Origin,Unit,Category,Collection,Time,Default Labels,CellID,ID,
3.95995,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,3,100000002,
2.51148,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,4,100000003,
1.95749,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,7,100000006,
2.53414,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,8,100000007,
1.75785,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,9,100000008,
2.91807,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,10,100000009,
