
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.479607,0.691837,0.539757,um,Surface,Ellipsoid Axis A,1,ATMgroup,4,
-0.4347,-0.645144,0.628351,um,Surface,Ellipsoid Axis A,1,TVCgroup,0,
