Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
0.17738889,0.025208626,0.045982525,-0.017029366,0.17372718,-0.18330488,-0.19593376,-0.23943222,0.26277974,-0.14753643,-0.19891061,-0.10669416,-0.30241618,-0.06651007
-0.22645827,-0.2581267,-0.27096945,0.24103,-0.23232333,0.22686422,-0.12961195,-0.052627772,0.00087690726,0.26241732,0.22003447,-0.15945904,0.054298706,0.24639337
0.17162101,0.33598226,0.33524865,-0.35596088,0.18383971,-0.17200303,0.37112302,0.31015837,-0.2084755,-0.1950151,-0.16239178,0.33590475,0.18642345,-0.28784165
0.43591502,0.11607798,0.16887462,-0.08222285,0.43017095,-0.44523928,-0.3919421,-0.48715162,0.52759206,-0.4009581,-0.4688555,-0.20474255,-0.6101774,-0.20960197
-0.08711221,0.17112853,0.14815098,-0.208841,-0.07586702,0.09080105,0.4126403,0.41885346,-0.36781314,0.06720137,0.10661187,0.31087607,0.40281615,-0.09803251
0.41434297,0.5371975,0.549911,-0.5428114,0.42860404,-0.41714334,0.41687176,0.28088814,-0.11874317,-0.4464357,-0.4098065,0.43317726,0.03718757,-0.4989803
-0.123768836,-0.19261593,-0.19502579,0.19032083,-0.12863497,0.12295803,-0.18908077,-0.1456979,0.09037635,0.16056253,0.11335951,-0.17076401,-0.05745355,0.17039114
0.1283839,0.13465166,0.14225215,-0.14083323,0.1318286,-0.13101284,0.06081507,0.018658055,0.028506191,-0.12131431,-0.13455957,0.08399853,-0.05021491,-0.13118549
0.061802845,-0.13226263,-0.11353199,0.15111369,0.055055827,-0.066181056,-0.3395434,-0.34416917,0.3009418,-0.016567644,-0.08506222,-0.2435487,-0.31439298,0.075358264
0.17795433,-0.06437128,-0.03517853,0.08968375,0.17108819,-0.18440856,-0.37003875,-0.4031465,0.38397217,-0.13367131,-0.20626691,-0.24280635,-0.4219642,-0.0052293246
-0.116562776,-0.3124409,-0.30660704,0.32260612,-0.12804022,0.1133269,-0.41145772,-0.36755762,0.28659743,0.17517856,0.092840455,-0.34592918,-0.263886,0.25582004
-0.15982293,-0.027935572,-0.049179327,-0.0057060993,-0.15679088,0.1618182,0.19458836,0.23432505,-0.21790275,0.16565709,0.16736473,0.11054215,0.26390705,0.06545428
0.26543152,0.10807893,0.13571951,-0.09459128,0.26352888,-0.27200922,-0.18235344,-0.25341636,0.29325733,-0.2413308,-0.28737655,-0.07111743,-0.35071477,-0.1507343
0.22702384,-0.09356692,-0.05580039,0.12654892,0.21753047,-0.2348528,-0.46394742,-0.50013953,0.47984207,-0.1744787,-0.26167518,-0.3151052,-0.52675927,0.0009140668
0.19332004,-0.018102136,0.00954983,0.038361643,0.18796083,-0.19967382,-0.30776545,-0.34902042,0.34639362,-0.15525731,-0.21924923,-0.18893906,-0.3881202,-0.042039342
-0.11863702,-0.0022983835,-0.018712953,-0.025128454,-0.115086906,0.12033196,0.17238562,0.20083144,-0.18581131,0.124303155,0.124978505,0.10583798,0.2236714,0.034843277
0.15358242,0.0013657605,0.02267688,0.013388987,0.15036449,-0.15853071,-0.22722687,-0.26316974,0.2614812,-0.12207844,-0.17390303,-0.13198557,-0.29361326,-0.044765446
0.19997168,0.15005969,0.1671037,-0.14356376,0.20250504,-0.20389006,-0.03365524,-0.09579962,0.13410863,-0.18837854,-0.21148218,0.03404583,-0.17260411,-0.16261502
-0.41008282,-0.44287828,-0.46367723,0.42284986,-0.41868043,0.41228047,-0.21403655,-0.07207233,-0.039599616,0.45328498,0.4058561,-0.27398542,0.13925178,0.42830932
0.24589856,0.3037108,0.31433922,-0.311052,0.25398722,-0.2488233,0.2064973,0.12291851,-0.026018964,-0.255683,-0.24800564,0.22646597,-0.020097893,-0.2839466
0.26367614,0.02882777,0.06264548,-0.0056577986,0.25849217,-0.27108032,-0.31813115,-0.37731284,0.39056107,-0.22742005,-0.29174507,-0.18138182,-0.44634542,-0.095301114
0.32649022,0.2851924,0.30697656,-0.28059053,0.33074856,-0.3320692,0.044670768,-0.062815346,0.15585458,-0.3246027,-0.33902895,0.12512283,-0.22464675,-0.29171884
-0.055693496,0.11678216,0.10191139,-0.14388517,-0.047681615,0.05795722,0.28120643,0.2853939,-0.24839261,0.047701254,0.0673012,0.21116243,0.27586433,-0.06832062
0.29371002,0.24148497,0.26259002,-0.23789087,0.2970086,-0.2989669,0.020749459,-0.07245834,0.15455696,-0.28823847,-0.30663255,0.09531971,-0.21720457,-0.25231987
0.12819514,-0.075080745,-0.052673567,0.09174636,0.12177972,-0.13387868,-0.31446132,-0.3373261,0.32156906,-0.08642536,-0.15333927,-0.21107891,-0.3505051,0.01708021
-0.475711,-0.2093601,-0.26016313,0.16132084,-0.47152436,0.4827881,0.30311581,0.42374283,-0.47683483,0.47765136,0.49667192,0.12324037,0.58098435,0.285079
0.2960704,-0.03773713,0.0065650376,0.07427775,0.28760943,-0.30440682,-0.4611555,-0.5133508,0.5062154,-0.24762188,-0.3310496,-0.29704776,-0.56433344,-0.059737217
-0.043547075,-0.29376268,-0.27944332,0.31408718,-0.05593828,0.038929705,-0.4759721,-0.45087335,0.3727983,0.10696162,0.014355962,-0.3811863,-0.36712196,0.22229731
