
Nucleus Center of Image Mass Ch=2 Img=1
 ==================== 
Nucleus Center of Image Mass X,Nucleus Center of Image Mass Y,Nucleus Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,CellID,ID,
44855.6,49924.1,48.9759,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,ATM,4,100000004,
44825.9,49901.4,53.1699,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,ATM,5,100000005,
44788.3,49833,28.9728,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,TVC,0,100000000,
44789.1,49845.1,28.2719,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,TVC,1,100000001,
44796.9,49837.5,32.4603,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,TVC,2,100000002,
44790.9,49848.9,32.0344,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,TVC,3,100000003,
